1,3,4,1,2,1
1,3,4,1,2,1
1,3,4,1,2,1
1,3,4,1,2,1
1,3,4,1,2,1
1,3,4,1,2,1
1,3,4,1,2,1
1,3,4,1,2,1
1,3,4,0,1,1
1,3,4,0,1,1
1,3,4,0,1,1
1,3,4,0,1,1
1,4,4,0,0,1
1,3,4,0,1,1
1,3,4,0,1,1
1,3,4,0,1,1
1,3,4,0,1,1
1,3,4,0,1,1
1,3,4,0,1,1
1,3,5,0,2,1
1,4,6,0,2,1
1,4,6,0,2,1
1,4,6,0,2,1
1,4,7,0,3,1
1,5,8,0,3,1
1,5,9,0,4,1
1,8,7,1,0,1
1,10,9,1,0,1
1,9,8,1,0,1
1,9,8,1,0,1
1,9,8,1,0,1
1,9,8,1,0,1
1,7,8,0,1,1
1,7,8,0,1,1
1,7,9,0,2,1
1,7,9,0,2,1
1,8,9,0,1,1
1,9,9,0,0,1
1,9,9,0,0,1
1,9,9,0,0,1
1,9,9,0,0,1
1,9,9,0,0,1
1,27162,32561,0,5399,1
